Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Sex,Event,Equipment,Division,WeightClassKg
4,Sergey Derevyanko,Сергей Деревянко,1977,66.8,160,107.5,210,477.5,M,SBD,Single-ply,Open,67.5
1,Sirazhutdin Bazaev,Сиражутдин Базаев,1968,72.5,285,175,280,740,M,SBD,Single-ply,Open,75
2,Dmitriy Solovev,Дмитрий Соловьев,1970,73.3,270,190,260,720,M,SBD,Single-ply,Open,75
3,Nikolay Ogly,Николай Оглы,1949,74.1,250,135,260,645,M,SBD,Single-ply,Open,75
4,Oleg Dubinin,Олег Дубинин,1966,74.4,212.5,155,227.5,595,M,SBD,Single-ply,Open,75
5,Yuriy Kozinets,Юрий Козинец,1962,75,225,160,210,595,M,SBD,Single-ply,Open,75
1,Sergey Romanenko,Сергей Романенко,1972,81.35,270,165,255,690,M,SBD,Single-ply,Open,82.5
2,Yaroslav Chala,Ярослав Чала,1948,82.2,240,185,252.5,677.5,M,SBD,Single-ply,Open,82.5
3,Viktor Urban,Виктор Урбан,1966,81.45,215,125,210,550,M,SBD,Single-ply,Open,82.5
1,Vladimir Makhnyuk,Владимир Махнюк,1958,86.9,290,200,285,775,M,SBD,Single-ply,Open,90
2,Yuriy Kostenko,Юрий Костенко,1971,89.8,275,190,295,760,M,SBD,Single-ply,Open,90
3,Valeriy Voytsekhovskiy,Валерий Войцеховский,1972,90,262.5,170,302.5,735,M,SBD,Single-ply,Open,90
4,Dmitriy Solodkiy,Дмитрий Солодкий,1971,88.2,250,195,287.5,732.5,M,SBD,Single-ply,Open,90
5,Yuriy Atamanchuk,Юрий Атаманчук,1975,88.35,262.5,167.5,252.5,682.5,M,SBD,Single-ply,Open,90
6,Vladimir Muravlev,Владимир Муравлев,1975,89.95,215,170,260,645,M,SBD,Single-ply,Open,90
7,Sergey Savyak,Сергей Савяк,1976,87.75,242.5,155,245,642.5,M,SBD,Single-ply,Open,90
8,Leonid Akinin,Леонид Акинин,1966,89.25,235,152.5,240,627.5,M,SBD,Single-ply,Open,90
9,Vladimir Vodolazhchenko,Владимир Водолажченко,1970,86.5,230,140,250,620,M,SBD,Single-ply,Open,90
10,Orest Trifanenko,Орест Трифаненко,1975,88.6,235,135,245,615,M,SBD,Single-ply,Open,90
DQ,Dmitriy Provotorov,Дмитрий Провоторов,1963,87,,,,,M,SBD,Single-ply,Open,90
1,Mikhail Starov,Михаил Старов,1973,99.55,340,190,320,850,M,SBD,Single-ply,Open,100
2,Albert Voytsekhovskiy,Альберт Войцеховский,1970,99.1,315,177.5,320,812.5,M,SBD,Single-ply,Open,100
3,Sergey Makrushin,Сергей Макрушин,1975,96.3,260,217.5,280,757.5,M,SBD,Single-ply,Open,100
4,Vitaliy Ponomarenko,Виталий Пономаренко,1974,94.2,240,190,250,680,M,SBD,Single-ply,Open,100
5,Vladimir Fedorchenko,Владимир Федорченко,1969,99.2,215,170,225,610,M,SBD,Single-ply,Open,100
6,Pavel Severenchuk,Павел Северенчук,1972,91.4,195,140,210,545,M,SBD,Single-ply,Open,100
7,Boris Ivonin,Борис Ивонин,1979,92.4,200,142.5,197.5,522.5,M,SBD,Single-ply,Open,100
DQ,Valeriy Podvysotskiy,Валерий Подвысоцкий,1971,97.8,250,,,,M,SBD,Single-ply,Open,100
1,Vladimir Ivanenko,Владимир Иваненко,1955,105.8,360,210,320,890,M,SBD,Single-ply,Open,110
2,Igor Antipenko,Игорь Антипенко,1968,110,330,200,330,860,M,SBD,Single-ply,Open,110
3,Viktor Dubovoy,Виктор Дубовой,1970,108.45,280,187.5,265,732.5,M,SBD,Single-ply,Open,110
DQ,Sergey Klyuenko,Сергей Клюенко,1969,108.6,,,,,M,SBD,Single-ply,Open,110
1,Valeriy Melnik,Валерий Мельник,1958,111.1,320,215,300,835,M,SBD,Single-ply,Open,125
DQ,Anatoliy Mishkovskiy,Анатолий Мишковский,1962,120,250,,,,M,SBD,Single-ply,Open,125
1,Yuriy Spinov,Юрий Спинов,1962,142.9,425,190,370,985,M,SBD,Single-ply,Open,125+
2,Vasiliy Orobets,Василий Оробец,1966,149.2,350,210,310,870,M,SBD,Single-ply,Open,125+
3,Vasiliy Gavrishchuk,Василий Гаврищук,1955,128.5,260,170,240,670,M,SBD,Single-ply,Open,125+
