Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Sex,Event,Equipment,Division,WeightClassKg
2,Dmitriy Krokhmal,Дмитрий Крохмаль,1975,59.3,180,107.5,190,477.5,M,SBD,Single-ply,Sub-Juniors,60
3,Ivan Ishchenko,Иван Ищенко,1975,60,120,85,190,395,M,SBD,Single-ply,Sub-Juniors,60
4,Mikhail Buletsa,Михаил Булеца,1977,59.9,145,80,160,385,M,SBD,Single-ply,Sub-Juniors,60
5,Vitalik Grushchevatyy,Виталик Грущеватый,1976,60,150,95,140,375,M,SBD,Single-ply,Sub-Juniors,60
6,Andrey Zabozhnyy,Андрей Забожный,1978,57.7,140,75,140,355,M,SBD,Single-ply,Sub-Juniors,60
7,Ruslan Gavrilov,Руслан Гаврилов,1977,57.1,110,80,145,335,M,SBD,Single-ply,Sub-Juniors,60
1,Igor Ivanchenko,Игорь Иванченко,1975,67.1,182.5,115,220.5,517.5,M,SBD,Single-ply,Sub-Juniors,67.5
2,Aleksandr Doroshenko,Александр Дорошенко,1977,65.7,167.5,87.5,205,460,M,SBD,Single-ply,Sub-Juniors,67.5
3,Aleksey Bykov,Алексей Быков,1976,65.9,160,102.5,182.5,445,M,SBD,Single-ply,Sub-Juniors,67.5
4,Sergey Polikhun,Сергей Полихун,1977,65.9,167.5,115,160,442.5,M,SBD,Single-ply,Sub-Juniors,67.5
5,Dmitriy Chekh,Дмитрий Чех,1977,65.5,130,95,170,395,M,SBD,Single-ply,Sub-Juniors,67.5
6,Edik Kolganov,Эдик Колганов,1979,63.4,145,75,165,385,M,SBD,Single-ply,Sub-Juniors,67.5
7,Yuriy Radchenko,Юрий Радченко,1977,66.65,120,90,150,360,M,SBD,Single-ply,Sub-Juniors,67.5
8,Ruslan Panchenko,Руслан Панченко,1977,67.1,120,75,150,345,M,SBD,Single-ply,Sub-Juniors,67.5
DQ,Vitaliy Kosov,Виталий Косов,1976,64.4,100,,,,M,SBD,Single-ply,Sub-Juniors,67.5
1,Viktor Khurudzhi,Виктор Хуруджи,1975,74.3,235,150.5,235,620,M,SBD,Single-ply,Sub-Juniors,75
2,Aleksandr Burekhin,Александр Бурехин,1977,74.4,230,117.5,237.5,585,M,SBD,Single-ply,Sub-Juniors,75
3,Vladimir Glivatskiy,Владимир Гливацкий,1975,74.7,210,145,210,565,M,SBD,Single-ply,Sub-Juniors,75
4,Sergey Voytovich,Сергей Войтович,1977,73.2,202.5,120,190,512.5,M,SBD,Single-ply,Sub-Juniors,75
5,Taras Gayday,Тарас Гайдай,1976,73,180,117.5,190,487.5,M,SBD,Single-ply,Sub-Juniors,75
6,Leonid Timchenko,Леонид Тимченко,1976,72.3,165,90,205,460,M,SBD,Single-ply,Sub-Juniors,75
7,Aleksandr Tolochko,Александр Толочко,1976,74.9,150,100,160,410,M,SBD,Single-ply,Sub-Juniors,75
8,Dmitriy Pyatetskiy,Дмитрий Пятецкий,1979,71.3,140,72.5,135,347.5,M,SBD,Single-ply,Sub-Juniors,75
1,Gennadiy Zakladnoy,Геннадий Закладной,1976,81.7,235,175,230,640,M,SBD,Single-ply,Sub-Juniors,82.5
2,Sergey Savyak,Сергей Савяк,1976,81.8,240,125,230,595,M,SBD,Single-ply,Sub-Juniors,82.5
3,Oleg Movchan,Олег Мовчан,1975,81.5,202.5,137.5,210,550,M,SBD,Single-ply,Sub-Juniors,82.5
4,Maksim Soskin,Максим Соскин,1975,81.4,160,112.5,192.5,465,M,SBD,Single-ply,Sub-Juniors,82.5
5,Evgeniy Rokochiy,Евгений Рокочий,1976,78.05,160,100,190,450,M,SBD,Single-ply,Sub-Juniors,82.5
6,Vladislav Maksimenko,Владислав Максименко,1977,81,140,110,170,420,M,SBD,Single-ply,Sub-Juniors,82.5
DQ,Andrey Temerbek,Андрей Темербек,1975,80.1,,,,,M,SBD,Single-ply,Sub-Juniors,82.5
DQ,Bogdan Velyanik,Богдан Веляник,1975,82.5,,,,,M,SBD,Single-ply,Sub-Juniors,82.5
1,Denis Cherednik,Денис Чередник,1975,87.3,255,157.5,255,667.5,M,SBD,Single-ply,Sub-Juniors,90
2,Andrey Kireev,Андрей Киреев,1975,87.6,210,130,247.5,587.5,M,SBD,Single-ply,Sub-Juniors,90
3,Vladimir Muravev,Владимир Муравьев,1975,88.2,185,152.5,235,572.5,M,SBD,Single-ply,Sub-Juniors,90
4,Andrey Gorbach,Андрей Горбач,1976,89,200,105,230,535,M,SBD,Single-ply,Sub-Juniors,90
5,Sergey Kozyura,Сергей Козюра,1976,89.25,190,115,222.5,527.5,M,SBD,Single-ply,Sub-Juniors,90
6,Dmitriy Malyarets,Дмитрий Малярец,1977,82.9,200,125,200,525,M,SBD,Single-ply,Sub-Juniors,90
7,Roman Gudz,Роман Гудзь,1976,88.9,175,115,205,495,M,SBD,Single-ply,Sub-Juniors,90
8,Ruslan Dubchenok,Руслан Дубченок,1975,85,165,105,185,455,M,SBD,Single-ply,Sub-Juniors,90
9,Aleksey Morozov,Алексей Морозов,1979,84.7,115,75,125,315,M,SBD,Single-ply,Sub-Juniors,90
1,Oleg Gavrish,Олег Гавриш,1975,93.5,240,120,230,590,M,SBD,Single-ply,Sub-Juniors,100
2,Aleksandr Shtundak,Александр Штундак,1975,98.9,220,145,210,575,M,SBD,Single-ply,Sub-Juniors,100
3,Anatoliy Sobol,Анатолий Соболь,1976,93.75,180,100,205,485,M,SBD,Single-ply,Sub-Juniors,100
1,Aleksandr Sereda,Александр Середа,1975,110.3,180,140,210,530,M,SBD,Single-ply,Sub-Juniors,125
DQ,Ilya Evdokimov,Илья Евдокимов,1975,117.5,,,,,M,SBD,Single-ply,Sub-Juniors,125
