Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Squat4Kg,Best3BenchKg,Best3DeadliftKg,Deadlift4Kg,TotalKg,Sex,Event,Equipment,Division,WeightClassKg
DQ,Aleksandr Chirkin,Александр Чиркин,1973,55.7,160,,90,,,,M,SBD,Single-ply,Juniors,56
1,Vladimir Petrakov,Владимир Петраков,1972,59.5,185,,122.5,213,,517.5,M,SBD,Single-ply,Juniors,60
2,Yuriy Chernyshenko,Юрий Чернышенко,1972,59.4,150,,90,192.5,,432.5,M,SBD,Single-ply,Juniors,60
3,Aleksandr Frolov,Александр Фролов,1970,59.9,170,,90,172.5,,432.5,M,SBD,Single-ply,Juniors,60
4,Andrey Krikun,Андрей Крикун,1974,58.7,140,,95,170,,405,M,SBD,Single-ply,Juniors,60
5,Aleksey Balashov,Алексей Балашов,1975,59,155,,90,160,,405,M,SBD,Single-ply,Juniors,60
6,Evgeniy Gudkevich,Евгений Гудкевич,1969,60,135,,92.5,165,,392.5,M,SBD,Single-ply,Juniors,60
7,Aleksandr Doroshenko,Александр Дорошенко,1977,60,135,,75,160,,370,M,SBD,Single-ply,Juniors,60
8,Sergey Gudymenko,Сергей Гудыменко,1975,59.7,125,,100,140,,365,M,SBD,Single-ply,Juniors,60
9,Sergey Polikhun,Сергей Полихун,1977,57.2,120,,92.5,120,,332.5,M,SBD,Single-ply,Juniors,60
DQ,Grigoriy Kolotilo,Григорий Колотило,1973,59.4,110,,,,,,M,SBD,Single-ply,Juniors,60
DQ,Vyacheslav Sadovoy,Вячеслав Садовой,1971,56.4,127.5,,,,,,M,SBD,Single-ply,Juniors,60
1,Vladimir Spakhi,Владимир Спахи,1974,67.1,210,,100,210,,522.5,M,SBD,Single-ply,Juniors,67.5
2,Oleg Molokoedov,Олег Молокоедов,1970,67.3,180,,132.5,200,,512.5,M,SBD,Single-ply,Juniors,67.5
3,Nikolay Korymov,Николай Корымов,1976,67,190,,107.5,182.5,,480,M,SBD,Single-ply,Juniors,67.5
4,Igor Ivanchenko,Игорь Иванченко,1975,66.3,145,,100,200,,445,M,SBD,Single-ply,Juniors,67.5
5,Andrey Kemerbek,Андрей Кемербек,1974,67.35,162.5,,80,190,,432.5,M,SBD,Single-ply,Juniors,67.5
6,Vladimir Samushin,Владимир Самушин,1976,65.3,115,,85,150,,350,M,SBD,Single-ply,Juniors,67.5
DQ,Aleksandr Korsunkiy,Александр Корсункий,1975,62.35,172.5,,,,,,M,SBD,Single-ply,Juniors,67.5
1,Roman Zuzuk,Роман Зузук,1971,74.8,247.5,,167.5,260,265,675,M,SBD,Single-ply,Juniors,75
2,Gennadiy Kapshuk,Геннадий Капшук,1974,74.5,235,,140,257.5,,632.5,M,SBD,Single-ply,Juniors,75
3,Sergey Romanenko,Сергей Романенко,1972,74.5,245,,137.5,250,,632.5,M,SBD,Single-ply,Juniors,75
4,Sergey Skoryk,Сергей Скорык,1970,74.5,245,,145,240,,630,M,SBD,Single-ply,Juniors,75
5,Rinat Zaripov,Ринат Зарипов,1970,74.8,220,,150,255,,625,M,SBD,Single-ply,Juniors,75
6,Vyacheslav Prokhorov,Вячеслав Прохоров,1974,74.7,225,,115,222.5,,562.5,M,SBD,Single-ply,Juniors,75
7,Evgeniy Makotra,Евгений Макотра,1975,74.6,195,,122.5,230,,547.5,M,SBD,Single-ply,Juniors,75
8,Gennadiy Zakladnoy,Геннадий Закладной,1976,73.4,190,,147.5,207.5,,545,M,SBD,Single-ply,Juniors,75
9,Aleksey Kraevskiy,Алексей Краевский,1974,69,200,,127.5,215,,542.5,M,SBD,Single-ply,Juniors,75
10,Sergey Karyy,Сергей Карый,1973,75,200,,125,215,,540,M,SBD,Single-ply,Juniors,75
11,Aleksandr Eremenko,Александр Еременко,1972,74.2,195,,105,210,,510,M,SBD,Single-ply,Juniors,75
12,Dmitriy Pika,Дмитрий Пика,1973,74.5,167.5,,112.5,202.5,,482.5,M,SBD,Single-ply,Juniors,75
13,Sergey Stepchenko,Сергей Степченко,1969,74.2,155,,105,215,,475,M,SBD,Single-ply,Juniors,75
14,Vyacheslav Chernyshenko,Вячеслав Чернышенко,1974,74.9,170,,90,195,,455,M,SBD,Single-ply,Juniors,75
15,Artur Dutov,Артур Дутов,1974,72,135,,115,195,,445,M,SBD,Single-ply,Juniors,75
16,Oleg Movchan,Олег Мовчан,1975,73.7,147.5,,112.5,175,,435,M,SBD,Single-ply,Juniors,75
17,Aleksandr Goncharov,Александр Гончаров,1969,71.5,130,,90,165,,395,M,SBD,Single-ply,Juniors,75
DQ,Sergey Alenin,Сергей Аленин,1970,74,,,,,,,M,SBD,Single-ply,Juniors,75
1,Viktor Sirmamyikh,Виктор Сирмамыих,1969,81.8,245,,140,250.5,,635,M,SBD,Single-ply,Juniors,82.5
2,Oleg Ignatenko,Олег Игнатенко,1972,81.6,225,,160,235,,620,M,SBD,Single-ply,Juniors,82.5
3,Eduard Dolina,Эдуард Долина,1973,80.3,232.5,,130,240,,602.5,M,SBD,Single-ply,Juniors,82.5
4,Vadim Bratus,Вадим Братусь,1973,80.2,195,,150,237.5,,582.5,M,SBD,Single-ply,Juniors,82.5
5,Oleg Vitkovskiy,Олег Витковский,1971,81.1,220,,135,225,,580,M,SBD,Single-ply,Juniors,82.5
6,Aleksandr Koshunko,Александр Кошунько,1971,81.5,230,,120,230,,580,M,SBD,Single-ply,Juniors,82.5
7,Sergey Lyashuk,Сергей Ляшук,1971,77.3,195,,130,240,,565,M,SBD,Single-ply,Juniors,82.5
8,Vladimir Kanibolotskiy,Владимир Каниболоцкий,1972,82.5,200,,120,230,,550,M,SBD,Single-ply,Juniors,82.5
9,Sergey Savyak,Сергей Савяк,1976,78.7,220.5,,112.5,215,,547.5,M,SBD,Single-ply,Juniors,82.5
10,Anatoliy Kots,Анатолий Коц,1973,82,195,,135,205,,535,M,SBD,Single-ply,Juniors,82.5
11,Aleksandr Lazarev,Александр Лазарев,1975,81.4,165,,140,215,,520,M,SBD,Single-ply,Juniors,82.5
12,Ivan Triskiba,Иван Трискиба,1974,76.8,165,,115,225,,505,M,SBD,Single-ply,Juniors,82.5
13,Vitaliy Lyalyuk,Виталий Лялюк,1971,80,175,,120,210,,505,M,SBD,Single-ply,Juniors,82.5
14,Nikolay Sypeev,Николай Сыпеев,1970,81,162.5,,127.5,210,,500,M,SBD,Single-ply,Juniors,82.5
15,Aleksandr Onoprienko,Александр Оноприенко,1972,80.5,145,,102.5,200,,447.5,M,SBD,Single-ply,Juniors,82.5
DQ,Sergey Nechaev,Сергей Нечаев,1973,80.6,165,,110,,,,M,SBD,Single-ply,Juniors,82.5
DQ,Andrey Safoshin,Андрей Сафошин,1969,81.1,,,,,,,M,SBD,Single-ply,Juniors,82.5
DQ,Aleksandr Krekhno,Александр Крехно,1969,82.4,,,,,,,M,SBD,Single-ply,Juniors,82.5
1,Mikhail Solomin,Михаил Соломин,1971,87.3,285,,185,257.5,,727.5,M,SBD,Single-ply,Juniors,90
2,Aleksey Solovev,Алексей Соловьев,1975,87.25,255,,170,257.5,,682.5,M,SBD,Single-ply,Juniors,90
3,Igor Ulyatovskiy,Игорь Улятовский,1969,89.1,240,,172.5,270,,682.5,M,SBD,Single-ply,Juniors,90
4,Igor Litvinov,Игорь Литвинов,1969,90,220,,150,250,,620,M,SBD,Single-ply,Juniors,90
5,Aleksandr Kapelyushnyy,Александр Капелюшный,1973,87,195,,140,222.5,,557.5,M,SBD,Single-ply,Juniors,90
6,Igor Kovalenko,Игорь Коваленко,1972,86,190,,135,230,,555,M,SBD,Single-ply,Juniors,90
7,Yuriy Lukyanenko,Юрий Лукьяненко,1972,87.1,200,,125,220,,545,M,SBD,Single-ply,Juniors,90
8,Vladimir Silnichenko,Владимир Сильниченко,1974,84,207.5,,112.5,215,,535,M,SBD,Single-ply,Juniors,90
DQ,Ivan Petrinchuk,Иван Петринчук,1971,90,,,,,,,M,SBD,Single-ply,Juniors,90
1,Oleg Korolev,Олег Королев,1971,98.7,290,,185,280,,755,M,SBD,Single-ply,Juniors,100
2,Valeriy Voytsekhovskiy,Валерий Войцеховский,1972,95.5,280.5,,172.5,265,,717.5,M,SBD,Single-ply,Juniors,100
3,Mikhail Starov,Михаил Старов,1973,94,281,,145,240,,665,M,SBD,Single-ply,Juniors,100
4,Aleksandr Trepukhalov,Александр Трепухалов,1975,94.2,210,,140,250,,600,M,SBD,Single-ply,Juniors,100
5,Dmitriy Trachenko,Дмитрий Траченко,1973,95.9,200,,155,240,,595,M,SBD,Single-ply,Juniors,100
6,Oleg Pogorelov,Олег Погорелов,1971,94,220,,125,240,,585,M,SBD,Single-ply,Juniors,100
7,Yuriy Krutenko,Юрий Крутенко,1973,98.65,205,,145,220,,570,M,SBD,Single-ply,Juniors,100
DQ,Aleksandr Medvedev,Александр Медведев,1969,94.9,,,,,,,M,SBD,Single-ply,Juniors,100
1,Dmitriy Belyy,Дмитрий Белый,1971,105.6,252.5,265.5,180,282.5,,715,M,SBD,Single-ply,Juniors,110
2,Andrey Budnik,Андрей Будник,1971,107.9,260,,175,265,,700,M,SBD,Single-ply,Juniors,110
3,Albert Voytsekhovskiy,Альберт Войцеховский,1970,100.5,272.5,,142.5,280,,695,M,SBD,Single-ply,Juniors,110
4,Vitaliy Zhukov,Виталий Жуков,1974,101.5,230,,130,240,,600,M,SBD,Single-ply,Juniors,110
5,Valeriy Tereshchenko,Валерий Терещенко,1974,105.4,200,,122.5,220,,532.5,M,SBD,Single-ply,Juniors,110
1,Andrey Radchenko,Андрей Радченко,1973,110.5,272.5,,155,280,,707.5,M,SBD,Single-ply,Juniors,125
